,artist,song
0,Adele,Easy On Me
1,Acraze,Do It To It (feat. Cherish)
2,Gino Graus,Schiddi Widdi Witt
3,Jan Biggel,Ons Moeder Zeej Nog
4,Elton John & Dua Lipa,Cold Heart (PNAU Remix)
5,Rene Le Blanc,Only You
6,MEAU,Dat Heb Jij Gedaan
7,Evert Van Huygevoort,Mañana
8,Danny Froger & Wesley Klein,Everybody Needs Somebody To Love
9,Helemaal Hollands,Alle Remmen Los
10,Bolland & Bolland,Misschien Huil Ik Niet Hard Genoeg
11,Jeffrey Heesen,Baby Lekker Ding
12,Adele,I Drink Wine
13,"Gabry Ponte, LUM!X & Prezioso",Thunder
14,Bob Offenberg,Tot Over M'n Oren
15,Adele,To Be Loved
16,Gebroeders Ko,Ja Wie Niet Springt (Die Moet Betalen)
17,Adele,Love Is A Game
18,Swedish House Mafia & The Weeknd,Moth To A Flame
19,Adele,Hold On
20,Lawineboys,Nooit Meer Alcohol
21,Nick Cave & Warren Ellis,We Are Not Alone (Original Soundtrack)
22,Adele,When We Were Young
23,Farruko,Pepas
24,Snollebollekes,Non Stop Vol D'r Op
25,Ed Sheeran,Shivers
26,Tiësto & Ava Max,The Motto
27,RONDÉ,Hard To Say Goodbye
28,Purple Disco Machine,Dopamine (feat. Eyelar)
29,OG3NE,Coming Home With Santa
30,OG3NE,Christmas On My Doorstep
31,Adele,Someone Like You
32,The Weeknd,Blinding Lights
33,Lost Frequencies & Calum Scott,Where Are You Now
34,Django Wagner & Wolter Kroes,Wij Gaan Door
35,Arjon Oostrom,Vrijmibo
36,Adele,Can I Get It
37,Adele,Strangers By Nature
38,Adele,My Little Love
39,BLØF,Verlaat Me Nu Nog Niet
40,Michael Bublé,It's Beginning to Look a Lot like Christmas
41,Mariah Carey,All I Want For Christmas Is You
42,Ed Sheeran,Perfect
43,Kensington,Sorry
44,Louis Armstrong,What a Wonderful World
45,Michael Bublé,It's Beginning To Look a Lot Like Christmas
46,FLEMMING,Amsterdam
47,Ed Sheeran,Overpass Graffiti
48,Armin van Buuren & Davina Michelle,Hold On
49,Coldplay X BTS,My Universe
50,Rain Radio & DJ Craig Gorman,Talk About
51,Martin Garrix,We Are the People (feat. Bono & The Edge)
52,Ed Sheeran,Visiting Hours
53,Jaap Reesema,Alles Komt Goed
54,Dermot Kennedy,Better Days
55,Tom Grennan,Don't Break the Heart
56,Procol Harum,A Whiter Shade of Pale
57,"Bruno Mars, Anderson .Paak & Silk Sonic",Smokin Out The Window
58,Post Malone & The Weeknd,One Right Now
59,Ewan McVicar,Tell Me Something Good
60,Yade Lauren,In De Nacht
61,BURNS,Talamanca
62,"Bruno Mars, Anderson .Paak & Silk Sonic",Leave The Door Open (Live)
63,Lil Wayne,She Will (feat. Drake)
64,Taylor Swift,Mr. Perfectly Fine (Taylor’s Version) [From The Vault]
65,Cain Perez,Hate My Ex
66,Le Bon,My Time Is Now (Ambient Mix)
67,Jessie,Met een Kus
68,"Noizu, Disciples & MOYA",Catch My Love
69,deadmau5,Pets
70,M.I.A.,Bad Girls (feat. Missy Elliott) [N.A.R.S. Remix]
71,Adem Project,"No Limit (feat. Reyer van Drongelen, Montell Jordan, Dwight Dissels, Abigail Martina, Jay-Way, Chesron Sminia, Amy de Jager, Christiana Bohorquez & William Wixley) [Acoustic Version]"
72,Matthew Halsall & The Gondwana Orchestra,Daan Park
73,Alexandre Desplat & London Symphony Orchestra,Couture
74,Rob de Nijs,Witte Duif
75,Matthew Halsall & The Gondwana Orchestra,Kiyomizu-Dera
76,Matthew Halsall & The Gondwana Orchestra,A Far Away Place
77,Matthew Halsall & The Gondwana Orchestra,Longshan Temple
78,Matthew Halsall & The Gondwana Orchestra,The Land Of
79,Jan Dulles & Babette van Veen,Kids
80,Louie Ramirez And His Conjunto Chango,Rush Hour In Hong Kong
81,Andrea Jürgens,Amore Amore
82,"MUZIE, LEEGIKWANG, JOOHONEY, Chuu, 이현, 송형준 & 정연주",Starlight
83,Hwa Sa,I'm a B
84,Les Robots,Don't Ask Me Love
85,Tinlicker,You Take My Hand (feat. Jamie Irrepressible)
86,KSHMR & Tungevaag,Close Your Eyes
87,Mattiel,Jeff Goldblum
88,LIONAIRE,HUSTLE AND FLOW
89,KOLIDESCOPES,When Friday Comes
90,Hi-Lo,Hypnos
91,Ash Lauryn,Life Is Back (Kai Alcé Life is Sweet Interpretation)
92,Jay Mason & Lulleaux,Your Smile
93,Thomas Newson,Talking About
94,Jack Star,Industry Baby (feat. Citycreed)
95,Stephan Bodzin & Marc Romboy,Phobos (Echonomist Remix)
96,Rich Amy,Sha Boom
97,CIX,BAD DREAM
98,Chicks Luv Us,Wanna Get Close to You
99,Antti Martikainen,The March of the Templars
